"index","Date","Open","High","Low","Close","Adj Close","Volume"
"136","2010-07-19","8.9243","8.9243","8.5571","8.7707","7.5197","1024478000"
"137","2010-07-20","8.675","9.0321","8.5718","8.9961","7.7129","1074950800"
"138","2010-07-21","9.4675","9.4696","9.0714","9.08","7.7849","1185671200"
"139","2010-07-22","9.2029","9.2857","9.1182","9.2507","7.9312","645318800"
"140","2010-07-23","9.1818","9.2993","9.1529","9.2836","7.9594","533388800"
"141","2010-07-26","9.2857","9.2893","9.2039","9.26","7.9392","420551600"
"142","2010-07-27","9.3168","9.4571","9.2964","9.4314","8.0862","584771600"
"143","2010-07-28","9.4168","9.4996","9.2946","9.32","7.9906","519985200"
"144","2010-07-29","9.3111","9.3804","9.1464","9.2182","7.9034","643806800"
"145","2010-07-30","9.1389","9.275","9.1036","9.1875","7.877","448210000"
"146","2010-08-02","9.3014","9.3782","9.2721","9.3518","8.0179","428055600"
"147","2010-08-03","9.3218","9.4021","9.265","9.3546","8.0203","417653600"
"148","2010-08-04","9.3871","9.4386","9.2968","9.3921","8.0525","420375200"
"149","2010-08-05","9.3475","9.3993","9.3054","9.3464","8.0133","289097200"
"150","2010-08-06","9.2779","9.3389","9.2011","9.2889","7.964","444897600"
"151","2010-08-09","9.3386","9.3625","9.2704","9.3482","8.0148","303128000"
"152","2010-08-10","9.2804","9.3018","9.1982","9.2646","7.9432","451920000"
"153","2010-08-11","9.1214","9.1318","8.9218","8.9354","7.6609","620054400"
"154","2010-08-12","8.8104","9.0393","8.79","8.9925","7.7099","534920400"
"155","2010-08-13","8.9875","8.9957","8.8961","8.8964","7.6275","354869200"
"156","2010-08-16","8.8421","8.9289","8.8079","8.8443","7.5828","318430000"
"157","2010-08-17","8.9314","9.0939","8.9","8.9989","7.7154","422640400"
"158","2010-08-18","9.0129","9.0954","8.985","9.0382","7.749","339696000"
"159","2010-08-19","9.03","9.0529","8.8814","8.9243","7.6514","426706000"
"160","2010-08-20","8.9068","9.0686","8.8929","8.9157","7.644","384230000"
"161","2010-08-23","8.9925","9","8.7589","8.7786","7.5264","414041600"
"162","2010-08-24","8.6668","8.6786","8.5232","8.5689","7.3467","602565600"
"163","2010-08-25","8.5014","8.7139","8.4714","8.6746","7.4373","596867600"
"164","2010-08-26","8.7661","8.7768","8.5814","8.5814","7.3574","466505200"
"165","2010-08-27","8.6339","8.6646","8.4129","8.6293","7.3984","548391200"
"166","2010-08-30","8.5986","8.7768","8.5957","8.6607","7.4254","383289200"
"167","2010-08-31","8.6375","8.7343","8.5839","8.6821","7.4438","420786800"
"168","2010-09-01","8.8382","8.9807","8.7957","8.9404","7.6652","697037600"
"169","2010-09-02","8.9736","9.0061","8.8775","9.0061","7.7215","415427600"
"170","2010-09-03","9.1104","9.2421","9.0893","9.2418","7.9236","520788800"
"171","2010-09-07","9.1657","9.2689","9.1518","9.2075","7.8942","342557600"
"172","2010-09-08","9.2779","9.4425","9.2536","9.39","8.0507","526551200"
"173","2010-09-09","9.4657","9.5186","9.39","9.3954","8.0552","438575200"
"174","2010-09-10","9.3996","9.4464","9.3357","9.4075","8.0657","387542400"
"175","2010-09-13","9.4936","9.5814","9.4914","9.5371","8.1768","388780000"
"176","2010-09-14","9.5075","9.6132","9.4829","9.5736","8.208","408150400"
"177","2010-09-15","9.5775","9.6564","9.5657","9.6507","8.2742","429368800"
"178","2010-09-16","9.6514","9.8811","9.625","9.8775","8.4686","652103200"
"179","2010-09-17","9.9175","9.9271","9.7743","9.8346","8.4319","634477200"
"180","2010-09-20","9.86","10.135","9.8518","10.1154","8.6726","658677600"
"181","2010-09-21","10.1379","10.2625","10.0996","10.1346","8.6891","668074400"
"182","2010-09-22","10.0968","10.285","10.0861","10.2768","8.811","585289600"
"183","2010-09-23","10.2261","10.4557","10.2143","10.3186","8.8468","786116800"
"184","2010-09-24","10.4321","10.4832","10.3768","10.44","8.9509","649488000"
"185","2010-09-27","10.4993","10.5261","10.3932","10.3986","8.9154","482834800"
"186","2010-09-28","10.4204","10.4204","9.8214","10.245","8.7837","1035042400"
"187","2010-09-29","10.2582","10.3504","10.2143","10.2632","8.7993","469644000"
"188","2010-09-30","10.3214","10.3571","10.0446","10.1339","8.6885","673391600"
"189","2010-10-01","10.2196","10.235","10.0482","10.09","8.6508","448142800"
"190","2010-10-04","10.0571","10.1036","9.9204","9.9514","8.532","435302000"
"191","2010-10-05","10.0714","10.3375","10.065","10.3193","8.8474","501967200"
"192","2010-10-06","10.3425","10.4282","10.1879","10.3282","8.8551","670868800"
"193","2010-10-07","10.3693","10.3743","10.2468","10.3293","8.856","408399600"
"194","2010-10-08","10.4182","10.5179","10.3571","10.5025","9.0045","658403200"
"195","2010-10-11","10.5264","10.6157","10.5214","10.5486","9.044","427753200"
"196","2010-10-12","10.5504","10.6964","10.4461","10.6621","9.1413","558544000"
"197","2010-10-13","10.7214","10.7843","10.7071","10.7193","9.1903","630092400"
"198","2010-10-14","10.7746","10.8025","10.7286","10.7968","9.2568","435296400"
"199","2010-10-15","10.98","11.25","10.8896","11.2407","9.6374","922194000"
"200","2010-10-18","11.3739","11.3929","11.2246","11.3571","9.7372","1093010800"
"201","2010-10-19","10.8357","11.2061","10.715","11.0532","9.4766","1232784000"
"202","2010-10-20","11.0357","11.2232","10.9596","11.0904","9.5085","721624400"
"203","2010-10-21","11.1557","11.2407","10.9571","11.0543","9.4776","551460000"
"204","2010-10-22","11.0382","11.0729","10.9393","10.9811","9.4148","372778000"
"205","2010-10-25","11.0389","11.1286","11.0157","11.03","9.4567","392462000"
"206","2010-10-26","10.9596","11.0621","10.9161","11.0018","9.4325","392929600"
"207","2010-10-27","10.9875","11.0679","10.9143","10.9939","9.4258","399002800"
"208","2010-10-28","10.9982","11","10.7464","10.9014","9.3465","551051200"
"209","2010-10-29","10.8654","10.9243","10.7454","10.7493","9.2161","430511200"
"210","2010-11-01","10.7936","10.9143","10.7929","10.8636","9.314","423889200"
